image_path,label
./license_plate_restoration/Foggy Images/20190615_155317_resized.jpg,ATOMC
./license_plate_restoration/Foggy Images/20190712_121651_resized.jpg,1494322
./license_plate_restoration/Foggy Images/20190727_110246_resized.jpg,8ETH697
./license_plate_restoration/Foggy Images/20200603_191338_resized.jpg,AL83M36
./license_plate_restoration/Foggy Images/20220525_150737_resized.jpg,6KAV083
./license_plate_restoration/Foggy Images/20230630_140900.jpg,9DIG718
./license_plate_restoration/Foggy Images/20230802_161747_resized.jpg,CK26U47
./license_plate_restoration/Foggy Images/20240221_175425_resized.jpg,99767M2
./license_plate_restoration/Foggy Images/20240224_154126_resized.jpg,7HKN790
./license_plate_restoration/Foggy Images/20240407_153852_resized.jpg,LUCILLE
./license_plate_restoration/Foggy Images/20240504_154137.jpg,EQ 19389
./license_plate_restoration/Foggy Images/20240504_154432.jpg,CJ0777
./license_plate_restoration/Foggy Images/20240504_154449_resized.jpg,CL 21287
./license_plate_restoration/Foggy Images/20240504_170739_resized.jpg,180008
./license_plate_restoration/Foggy Images/20240513_065344_resized.jpg,USJ-7233
./license_plate_restoration/Foggy Images/20240611_153155_resized.jpg,06219U1
./license_plate_restoration/Foggy Images/IMG_0743_resized.jpg,WLSOP
./license_plate_restoration/Foggy Images/IMG_0771_resized.jpg,LCBW31
./license_plate_restoration/Foggy Images/IMG_1083_resized.jpg,QNAH46
./license_plate_restoration/Foggy Images/IMG_2323.jpeg,1431529
./license_plate_restoration/Foggy Images/IMG_2324.jpeg,1431380
./license_plate_restoration/Foggy Images/IMG_2325(1).jpeg,CTA9646
./license_plate_restoration/Foggy Images/IMG_2326.jpeg,1431417
./license_plate_restoration/Foggy Images/IMG_2327.jpeg,1594530
./license_plate_restoration/Foggy Images/IMG_2328.jpeg,1392958
./license_plate_restoration/Foggy Images/IMG_2329.jpeg,6996G1
./license_plate_restoration/Foggy Images/IMG_2334.jpeg,"7SFA191,6FBV284"
./license_plate_restoration/Foggy Images/IMG_2335.jpeg,8VAC115
./license_plate_restoration/Foggy Images/IMG_2336.jpeg,7SFA
./license_plate_restoration/Foggy Images/IMG_2338.jpeg,"9BYV861,8LYK834"
./license_plate_restoration/Foggy Images/IMG_2341.jpeg,9685
./license_plate_restoration/Foggy Images/IMG_2342.jpeg,9KIC227
./license_plate_restoration/Foggy Images/IMG_2343.jpeg,"7L7S369,9KIC227"
./license_plate_restoration/Foggy Images/IMG_2344.jpeg,8UPR353
./license_plate_restoration/Foggy Images/IMG_2345.jpeg,7NET760
./license_plate_restoration/Foggy Images/IMG_2346.jpeg,1470349
./license_plate_restoration/Foggy Images/IMG_2347.jpeg,6UER269
./license_plate_restoration/Foggy Images/IMG_2348.jpeg,8CJE008
./license_plate_restoration/Foggy Images/IMG_2349.jpeg,8CJE008
./license_plate_restoration/Foggy Images/IMG_2354.jpeg,8NKH450
./license_plate_restoration/Foggy Images/IMG_2366.jpeg,7EZU047
./license_plate_restoration/Foggy Images/IMG_2371.jpeg,8UZG115
./license_plate_restoration/Foggy Images/IMG_2378_frame_000341.jpeg,8VEL356
./license_plate_restoration/Foggy Images/IMG_2379_frame_000228.jpeg,9LWB035
./license_plate_restoration/Foggy Images/IMG_2379_frame_000499.jpeg,BEMN247
./license_plate_restoration/Foggy Images/IMG_2381_frame_000598.jpeg,88681A4
./license_plate_restoration/Foggy Images/IMG_2382_frame_000182.jpeg,7LCY720
./license_plate_restoration/Foggy Images/IMG_2382_frame_000276.jpeg,9FGS754
./license_plate_restoration/Foggy Images/IMG_2383_frame_000484.jpeg,1431555
./license_plate_restoration/Foggy Images/IMG_2383_frame_000633.jpeg,9NM2053
./license_plate_restoration/Foggy Images/IMG_2383_frame_000763.jpeg,1642116
./license_plate_restoration/Foggy Images/IMG_2384_frame_000459.jpeg,9PMX795
./license_plate_restoration/Foggy Images/IMG_2386.jpeg,8MHL131
./license_plate_restoration/Foggy Images/IMG_2387.jpeg,8JUE333
./license_plate_restoration/Foggy Images/IMG_2388.jpeg,67776M1
./license_plate_restoration/Foggy Images/IMG_2389.jpeg,1608816
./license_plate_restoration/Foggy Images/IMG_2390.jpeg,1408508
./license_plate_restoration/Foggy Images/IMG_2391.jpeg,1044958
./license_plate_restoration/Foggy Images/IMG_2393.jpeg,1431360
./license_plate_restoration/Foggy Images/IMG_5004_resized.jpg,RSULAHH
./license_plate_restoration/Foggy Images/IMG_5509_resized.jpg,8XOM170
./license_plate_restoration/Foggy Images/IMG_5772.jpeg,9POM121
./license_plate_restoration/Foggy Images/IMG_5773.jpeg,8SHF202
./license_plate_restoration/Foggy Images/IMG_5774.jpeg,6YYM380
./license_plate_restoration/Foggy Images/IMG_5775.jpeg,8CMX516
